,SKU reference,Name,Material,Color,Diameter,Height,Finish,Shape,Weight,Clearance price,Technical drawing
132,007075-250,golden-atomizer-with-cap-ag15,Plastic,plastic-golden,,,,,5 grs,,
133,007074-82,transparent-atomizer-with-cap-13415,Plastic,plastic-transparent,,,,,5 grs,,
134,007055-16,diff-p-bianco-d315-h30-r,Plastic,plastic-white,"31,00 mm","30,00 mm",BG-Screw,cylindrical,6 grs,,⬇ 24595
135,SPCL20250N11XXMS,nebulizer-sprayer-d20410-natural-stem-250,Plastic,plastic-transparent,"20,00 mm","57,20 mm",,,6 grs,,
136,007074-198,vent-cap-din-61,Plastic,plastic-white,"61,00 mm","28,00 mm",,,6 grs,,
137,ZRCAD0070S11XXMS,screw-cap-aluminum-silver-d70,Plastic,plastic-silverish,,"11,40 mm",,,6 grs,,
138,SPCL24250B14XXMS,nebulizer-sprayer-d24410-white-grooved-stem-250,Plastic,plastic-white,"24,00 mm","59,20 mm",,,7 grs,,
139,007074-361,anti-drip-cap-oval-pet,Plastic,plastic-golden,,,Snap Hinge Push On Oval Valve,,7 grs,,
140,007074-531,syan-flip-top-4-mm-plastic-cap,Plastic,,,,,,7 grs,,
141,007074-532,translucent-plastic-cap-azura-4-mm,Plastic,,,,,,7 grs,,
142,ZRCLD0070B11XXPP,screw-plug-pp-white-d70,Plastic,plastic-white,,"11,70 mm",,,7 grs,,
143,ZXCHD0028BB5XXGA,hdpe-screw-cap-white-approved-safety-d28,Plastic,plastic-white,,"23,30 mm",,,7 grs,,
144,SPCL24250B13XXMS,nebulizer-sprayer-d24410-white-smooth-stem-250,Plastic,plastic-transparent,"24,00 mm","59,50 mm",,,8 grs,,
145,SPCL24250N12XXMS,nebulizer-sprayer-d24410-natural-grooved-stem-250,Plastic,plastic-transparent,"24,00 mm","43,30 mm",,,8 grs,,
146,ZNCLD0116B13XXJW,pressure-cap-seal-pp-white-d116,Plastic,plastic-white,,,,,8 grs,,
147,007055-11,natural-synthetic-cork-stopper-352x155,Synthetic,,"35,20 mm","15,50 mm",,,9 grs,,
148,ZXCLD0082B12XXSH,screw-plug-pp-seal-white-d82,Plastic,plastic-white,,"17,70 mm",,,10 grs,,
149,ZXCHD0036BR4XXRS,hdpe-screw-cap-white--red-childproof-d36,Plastic,plastic-white,,"22,60 mm",,,11 grs,,
150,ZXCHD0051B1BXXLL,screw-plug-hdpe-seal-white-approved-d50,Plastic,plastic-white,,"31,00 mm",,,11 grs,,
151,ZXCHD0050B11XXLL,threaded-plug-hdpe-seal-white-approved-disc-d50,Plastic,plastic-white,,,,,11 grs,,
152,DOCL24250B11XXMS,white-dispenser-d24410-250-smooth-stem,Plastic,plastic-white,"24,00 mm","87,60 mm",,,12 grs,,
153,DOXL28141B15XXCO,white-dispenser-d28410-141-lps-stem,Plastic,plastic-white,"28,00 mm","86,50 mm",,,12 grs,,
154,DOCL24250N12XXMS,natural-dispenser-d24410-250-grooved-stem,Plastic,plastic-transparent,"24,00 mm","88,00 mm",,,12 grs,"0,101",
155,007074-200,stopper-white-agro-50-snap,Plastic,plastic-white,"56,10 mm","46,20 mm",,,12 grs,,
156,007074-201,stopper-white-agro-50-snap-desgasaje,Plastic,plastic-white,"56,10 mm","46,20 mm",,,12 grs,,
157,007074-189,child-resistant-cap-42mm,Plastic,plastic-white,"50,00 mm","22,00 mm",,,12 grs,,
158,ZXCHD0051G22XXLL,black-snap-on-seal-screw-cap-d50,Plastic,plastic-black,"50,00 mm","30,65 mm",,cylindrical,12 grs,,
159,DOCL24250B13XXMS,white-dispenser-d24410-250-grooved-stem,Plastic,plastic-white,"24,00 mm","104,43 mm",,,13 grs,"0,101",
160,DOCL28250N12XXMS,natural-dispenser-d28410-250-grooved-stem,Plastic,plastic-transparent,"28,00 mm","87,60 mm",,,13 grs,"0,121",
