,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Shape,Finish,Units per pasteurizer,Technical drawing,Length,Width
440,008082-353,560 ml,380 grs,Glass,"80,00 mm","88,00 mm",glass-white,cylindrical,Weck 80 mm,,,,
441,10152,580 ml,225 grs,Glass,"10.152,00 mm","127,00 mm",glass-white,cylindrical,Twist Off TO 66,,,,
442,008082-104,580 ml,240 grs,Glass,"80,60 mm","141,50 mm",glass-white,cylindrical,Twist Off TO 77,14,,,
443,008081-506,580 ml,245 grs,Glass,"82,50 mm","143,00 mm",white,cylindrical,BG-Twist off,,⬇ 65,,
444,008081-561,580 ml,250 grs,Glass,"87,00 mm","114,70 mm",white,hexagonal,BG-Twist off,,⬇ 11180,,
445,008081-598,580 ml,250 grs,Glass,"89,40 mm","121,20 mm",white,cylindrical,BG-Twist off,,⬇ 10145,,
446,008082-75,580 ml,260 grs,Glass,"76,00 mm","169,50 mm",glass-white,cylindrical,Twist Off TO 63,16,,,
447,008081-615,580 ml,260 grs,Glass,"85,20 mm","127,40 mm",white,cylindrical,BG-Twist off,,⬇ 15432,,
448,008081-535,580 ml,270 grs,Glass,"95,00 mm","110,70 mm",white,cylindrical,BG-Twist off,,⬇ 9418,,
449,008081-300,580 ml,270 grs,Glass,"103,00 mm","109,00 mm",glass-white,cylindrical,Twist Off TO 82,16,,,
450,30247,580 ml,280 grs,Glass,"101,00 mm","107,00 mm",glass-white,complex,Twist Off TO 82,,,,
451,37895,580 ml,318 grs,Glass,"100,00 / 88,20 mm","114,00 mm",glass-white,cylindrical,Le parfait Bistrot 86,,⬇ 37895,,
452,008081-2,580 ml,330 grs,Glass,"101,00 / 64,50 mm","141,50 mm",glass-white,conical,Twist Off TO 70,9,,,
453,008081-538,580 ml,330 grs,Glass,"73,20 mm","188,30 mm",white,cylindrical,Twist Off TO 70 Tall,,⬇ 12881,,
454,10183,580 ml,335 grs,Glass,"89,00 mm","111,00 mm",glass-white,square,Twist Off TO 82,,,,
455,008082-45,580 ml,345 grs,Glass,"81,00 mm","171,85 mm",glass-white,cylindrical,Twist Off TO 77,14,,,
456,008081-449,580 ml,350 grs,Glass,"100,70 mm","153,00 mm",white,cylindrical,BG-Twist off,,⬇ 10831,,
457,008081-533,580 ml,350 grs,Glass,"92,70 mm","114,10 mm",white,square,BG-Twist off,,⬇ 16418,,
458,008081-571,580 ml,400 grs,Glass,"69,80 mm","165,00 mm",white,square,BG-Twist off,,⬇ 17537,,
459,008081-582,580 ml,400 grs,Glass,"98,40 mm","124,00 mm",extrawhite,oval,BG-Twist off,,⬇ 14491,,
460,008081-584,580 ml,400 grs,Glass,"116,30 mm","121,50 mm",white,oval,BG-Twist off,,⬇ 14451,,
461,008081-634,580 ml,400 grs,Glass,"90,00 mm","111,20 mm",white,square,BG-Twist off,,⬇ 7227,,
462,008081-640,580 ml,400 grs,Glass,"84,80 mm","120,00 mm",white,square,BG-Twist off,,⬇ 13856,,
463,008082-370,580 ml,456 grs,Glass,"100,00 mm","85,00 mm",glass-white,cylindrical,Weck 100 mm,,,,
464,008082-372,580 ml,488 grs,Glass,"100,00 mm","107,00 mm",glass-white,cylindrical,Weck 100 mm,,,,
465,008082-1644,580 ml,500 grs,Glass,"72,00 mm","170,00 mm",glass-white,cylindrical,Twist Off TO 70 Tall,,,,
466,POCP0600CT19XXPP,600 ml,39 grs,Plastic,"104,00 mm","96,50 mm",plastic-transparent,,,,,,
467,008082-60,600 ml,318 grs,Glass,"73,40 mm","182,00 mm",glass-white,cylindrical,Twist Off TO 63,17,,,
468,008082-351,600 ml,370 grs,Glass,"60,00 mm","210,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
469,008081-232,625 ml,571 grs,Glass,"113,50 mm","107,10 mm",glass-white,cylindrical,Le Parfait - Finish Latex 100 mm,,,,
470,008081-222,635 ml,451 grs,Glass,"108,00 mm","109,10 mm",glass-white,cylindrical,Le Parfait - Finish Latex 85 mm,,,,
471,008081-627,640 ml,280 grs,Glass,"124,00 mm","81,10 mm",white,cylindrical,BG-Twist off,,⬇ 23558,,
472,008081-347,640 ml,297 grs,Glass,"124,00 mm","81,00 mm",glass-white,cylindrical,Twist Off TO 100,,,,
473,008081-672,650 ml,371 grs,Glass,"82,00 mm","161,00 mm",glass-white,cylindrical,,,,,
474,008082-1572,660 ml,313 grs,Glass,"138,00 mm","86,00 mm",glass-white,cylindrical,BG-Screw,,,,
475,POCL0700CB11XXPR,700 ml,46 grs,Plastic,,"136,00 mm",plastic-white,,,,,,
476,008082-360,700 ml,390 grs,Glass,"88,00 mm","205,00 mm",glass-white,cylindrical,Weck 80 mm,,,,
477,008082-334,720 ml,230 grs,Glass,"85,00 mm","156,00 mm",glass-white,cylindrical,Twist Off TO 82 Alta,,,,
478,008082-15,720 ml,270 grs,Glass,"80,60 mm","172,00 mm",glass-white,cylindrical,Twist Off TO 77,14,,,
479,008081-517,720 ml,285 grs,Glass,"81,10 mm","172,00 mm",white,cylindrical,BG-Twist off,,⬇ 20988,,
480,008082-55,720 ml,290 grs,Glass,"86,80 mm","151,50 mm",glass-white,cylindrical,Twist Off TO 82,12,,,
481,008082-205,720 ml,290 grs,Glass,"97,90 mm","125,80 mm",glass-white,cylindrical,Twist Off TO 82,18,,,
482,008081-504,720 ml,290 grs,Glass,"87,50 mm","149,20 mm",white,cylindrical,BG-Twist off,,⬇ 18054,,
483,10507,720 ml,300 grs,Glass,"81,00 mm","172,00 mm",glass-white,cylindrical,Twist Off TO 77,,,,
484,008081-301,720 ml,310 grs,Glass,"107,30 / 58,80 mm","126,20 mm",glass-white,cylindrical,Twist Off TO 82,16,,,
