,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Shape,Finish,Units per pasteurizer,Technical drawing,Length,Width
0,004042-4,5 ml,5 grs,Plastic,"32,00 mm","17,90 mm",plastic-transparent,cylindrical,,,,,
1,008082-17,33 ml,47 grs,Glass,"43,00 mm","40,50 mm",white,cylindrical,Twist Off TO 43,306,,,
2,008082-362,35 ml,46 grs,Glass,"53,00 mm","35,00 mm",glass-white,cylindrical,Weck 40 mm,,,,
3,008081-621,40 ml,60 grs,Glass,"45,10 mm","45,60 mm",white,octogonal,Twist Off 43 Deep,,⬇ 23670,,
4,008081-625,40 ml,60 grs,Glass,"45,10 mm","47,70 mm",white,cylindrical,Twist Off 43 Deep,,⬇ 19503,,
5,008081-637,40 ml,70 grs,Glass,"42,60 mm","45,50 mm",white,square,Twist Off 43 Deep,,⬇ 17916,,
6,008082-22,41 ml,61 grs,Glass,"43,30 mm","50,40 mm",white,cylindrical,Twist Off TO 43,255,,,
7,008081-455,46 ml,80 grs,Glass,"46,50 mm","53,60 mm",white,cylindrical,PP 45,,⬇ 8430,,
8,008081-271,47 ml,60 grs,Glass,"49,00 / 43,00 mm","51,00 mm",white,hexagonal,Twist Off TO 43,85,,,
9,004046-31,50 ml,20 grs,Plastic,"65,60 mm","35,10 mm",plastic-transparent,cylindrical,TO-063-PET,,,,
10,004042-16,50 ml,31 grs,Plastic,"58,00 mm","47,00 mm",plastic-white,cylindrical,,,,,
11,008082-363,50 ml,58 grs,Glass,"67,00 / 49,00 mm","36,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
12,008081-456,60 ml,78 grs,Glass,"50,00 mm","62,00 mm",white,cylindrical,Twist Off 48,,⬇ 14993,,
13,008081-457,60 ml,90 grs,Glass,"47,00 mm","67,60 mm",extrawhite,cylindrical,BG-Twist off,,⬇6,,
14,008081-578,60 ml,92 grs,Glass,"60,80 mm","41,20 mm",white,cylindrical,BG-Twist off,,⬇ 22760,,
15,008082-18,65 ml,65 grs,Glass,"56,50 mm","46,00 mm",white,cylindrical,Twist Off 48,155,,,
16,008081-604,65 ml,70 grs,Glass,"598,00 mm","33,40 mm",white,cylindrical,Twist Off TO 66,,⬇ 5397,,
17,10593,65 ml,78 grs,Glass,"41,00 mm","76,00 mm",glass-white,cylindrical,Twist Off TO 38,,,,
18,008082-31,67 ml,70 grs,Glass,"42,00 mm","77,30 mm",white,cylindrical,Twist Off TO 38,168,,,
19,008081-607,67 ml,100 grs,Glass,"60,20 mm","43,80 mm",white,cylindrical,BG-Twist off,,⬇ 15687,,
20,008081-287,67 ml,110 grs,Glass,"60,70 mm","41,50 mm",glass-white,square,Twist Off TO 58 Tall,156,⬇ 17532,,
21,008081-523,70 ml,62 grs,Glass,"53,40 mm","47,00 mm",white,cylindrical,Twist Off TO 53,,⬇ 19395,,
22,008081-384,70 ml,70 grs,Glass,"59,70 mm","36,00 mm",glass-white,cylindrical,Twist Off TO 66,,,,
23,008081-351,70 ml,80 grs,Glass,"61,25 mm","41,35 mm",glass-white,cylindrical,Twist Off TO 58 Tall,150,,,
24,008081-453,71 ml,80 grs,Glass,"50,60 mm","81,90 mm",white,cylindrical,Twist Off 43 Deep,,⬇ 15240,,
25,008082-390,75 ml,79 grs,Glass,"60,00 mm","46,00 mm",glass-white,cylindrical,Twist Off TO 58 Tall,,,,
26,10283,80 ml,120 grs,Glass,"42,00 mm","109,00 mm",glass-white,cylindrical,Screw Finished - X Grinder Special,,,,
27,008082-377,80 ml,137 grs,Glass,"60,00 mm","55,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
28,008081-655,82 ml,100 grs,Glass,"42,90 mm","103,40 mm",white,cylindrical,BG-Screw,,⬇ 13884,,
29,008081-653,85 ml,90 grs,Glass,"42,00 mm","110,00 mm",white,cylindrical,BG-Screw,,⬇ 25904,,
30,008081-458,90 ml,84 grs,Glass,"49,90 mm","78,20 mm",white,cylindrical,PP 45,,⬇ 8722,,
31,008081-654,90 ml,100 grs,Glass,"42,50 mm","103,50 mm",white,cylindrical,PP 35,,⬇ 10698,,
32,008082-61,99 ml,113 grs,Glass,"46,00 mm","94,80 mm",white,cylindrical,Twist Off TO 43,92,,,
33,POCL0100CB11XXPR,100 ml,12 grs,Plastic,"50,00 mm","59,10 mm",plastic-white,,,,,,
34,POCL0100CB12XXPR,100 ml,13 grs,Plastic,"42,50 mm","86,50 mm",plastic-white,,,,,,
35,POCP0100CG28XXPP,100 ml,14 grs,Plastic,"71,50 mm","39,20 mm",plastic-black,,,,,,
36,POCP0100CA1HXXGU,100 ml,17 grs,Plastic,"47,30 mm","86,80 mm",plastic-topaz,,,,,,
37,004046-32,100 ml,20 grs,Plastic,"65,60 mm","49,90 mm",plastic-transparent,cylindrical,TO-063-PET,,,,
38,004046-34,100 ml,20 grs,Plastic,"71,60 mm","48,00 mm",plastic-transparent,cylindrical,TO-063-PET,,,,
39,004042-17,100 ml,55 grs,Plastic,"58,00 mm","55,00 mm",plastic-white,cylindrical,,,,,
40,008082-361,100 ml,101 grs,Glass,"52,00 mm","107,00 mm",glass-white,cylindrical,Weck 40 mm,,,,
41,008081-652,100 ml,128 grs,Glass,"46,00 mm","123,00 mm",white,cylindrical,BG-Screw,,⬇ 16699,,
42,008081-671,100 ml,132 grs,Glass,"66,00 mm","57,00 mm",glass-white,cylindrical,,,,,
43,008081-476,105 ml,90 grs,Glass,"64,00 mm","57,20 mm",white,cylindrical,BG-Twist off,,⬇ 19400,,
44,008082-394,105 ml,98 grs,Glass,"50,00 mm","80,00 mm",glass-white,cylindrical,Twist Off 48,,,,
45,008081-507,106 ml,90 grs,Glass,"57,30 mm","61,50 mm",white,cylindrical,BG-Twist off,,⬇ 9295,,
46,008081-609,106 ml,90 grs,Glass,"60,20 mm","56,10 mm",white,cylindrical,BG-Twist off,,⬇ 21603,,
47,008081-528,106 ml,92 grs,Glass,"51,50 mm","74,50 mm",white,cylindrical,Twist Off 48,,⬇ 17834,,
48,008082-217,106 ml,92 grs,Glass,"52,00 mm","75,00 mm",glass-white,cylindrical,Twist Off 48,,,,
49,008082-251,106 ml,96 grs,Glass,"57,00 mm","62,00 mm",glass-white,cylindrical,Twist Off TO 53,,,,
50,008081-269,106 ml,100 grs,Glass,"68,00 / 60,20 mm","55,50 mm",glass-white,hexagonal,Twist Off TO 53,68,,,
51,008081-473,106 ml,100 grs,Glass,"51,80 mm","79,00 mm",white,cylindrical,BG-Twist off,,⬇ 20085,,
52,008081-474,106 ml,100 grs,Glass,"56,10 mm","67,80 mm",white,cylindrical,BG-Twist off,,⬇ 20086,,
53,008081-623,106 ml,100 grs,Glass,"45,10 mm","98,90 mm",white,cylindrical,Twist Off 43 Deep,,⬇ 19504,,
54,008081-297,106 ml,100 grs,Glass,"62,50 mm","62,00 mm",glass-white,cylindrical,Twist Off TO 53,96,,,
55,008081-556,106 ml,105 grs,Glass,"60,20 mm","55,50 mm",white,hexagonal,BG-Twist off,,⬇ 21890,,
56,008081-282,106 ml,106 grs,Glass,"61,25 mm","56,70 mm",glass-white,,Twist Off TO 58 Tall,100,,,
57,008081-274,106 ml,110 grs,Glass,"67,00 mm","67,00 mm",glass-white,square,Twist Off 48,84,,,
58,008081-452,106 ml,110 grs,Glass,"58,00 mm","90,00 mm",white,cylindrical,Twist Off 48,,⬇ 14980,,
59,008081-77,106 ml,115 grs,Glass,"70,11 / 56,50 mm","61,50 mm",glass-white,square,Twist Off 48,104,,,
60,008081-447,106 ml,115 grs,Glass,"48,00 mm","97,50 mm",white,cylindrical,PP 45,,⬇ 17395,,
61,008081-636,106 ml,115 grs,Glass,"52,40 mm","69,00 mm",white,square,Twist Off 48,,⬇ 14750,,
62,008081-491,106 ml,120 grs,Glass,"67,00 mm","48,00 mm",white,cylindrical,Twist Off TO 63 Tall,,⬇ 29510,,
63,008081-632,106 ml,120 grs,Glass,"52,00 mm","73,20 mm",white,square,Twist Off 48,,⬇ 13317,,
64,10485,106 ml,130 grs,Glass,"74,00 mm","51,00 mm",glass-white,cylindrical,Twist Off TO 70 Tall,,,,
65,008081-537,106 ml,130 grs,Glass,"73,20 mm","54,90 mm",white,cylindrical,Twist Off TO 70 Tall,,⬇ 12850,,
66,008082-1621,106 ml,160 grs,Glass,"83,00 mm","47,00 mm",glass-white,cylindrical,Twist Off TO 70,,,,
67,008081-593,106 ml,350 grs,Glass,"69,40 mm","78,50 mm",white,square,Twist Off 43 Deep,,⬇ 10718,,
68,008081-60,109 ml,110 grs,Glass,"58,00 / 43,50 mm","90,00 mm",glass-white,curved,Twist Off 48,87,,,
69,008081-553,110 ml,110 grs,Glass,"51,20 mm","77,80 mm",white,hexagonal,Twist Off 48,,⬇ 2212,,
70,10600,114 ml,121 grs,Glass,"41,00 mm","120,00 mm",glass-white,cylindrical,Screw Finished - X Grinder Special,,,,
71,008082-32,115 ml,120 grs,Glass,"42,50 mm","127,50 mm",white,cylindrical,Twist Off TO 38,110,,,
72,008082-417,115 ml,121 grs,Glass,"45,00 mm","135,00 mm",glass-white,cylindrical,Tapa-molinillo,,,,
73,008081-270,116 ml,110 grs,Glass,"58,50 / 51,50 mm","78,50 mm",glass-white,hexagonal,Twist Off 48,51,,,
74,008081-574,119 ml,110 grs,Glass,"69,30 mm","49,00 mm",white,cylindrical,Twist Off 66 Deep,,⬇ 15197,,
75,008082-93,120 ml,80 grs,Glass,"68,95 mm","47,50 mm",glass-white,cylindrical,Twist Off TO 70,95,,,
76,008082-200,120 ml,95 grs,Glass,"62,00 mm","55,50 mm",white,cylindrical,Twist Off TO 66,84,,,
77,008081-629,120 ml,100 grs,Glass,"76,00 mm","43,60 mm",white,cylindrical,BG-Twist off,,⬇ 7748,,
78,008081-605,124 ml,95 grs,Glass,"62,40 mm","56,70 mm",white,cylindrical,BG-Twist off,,⬇ 7021,,
79,008081-479,125 ml,85 grs,Glass,"62,40 mm","65,40 mm",white,cylindrical,BG-Twist off,,⬇ 19295,,
80,008082-381,125 ml,95 grs,Glass,"66,00 mm","59,50 mm",glass-white,cylindrical,Twist Off TO 66,84,,,
81,008081-481,125 ml,95 grs,Glass,"66,00 mm","59,50 mm",white,cylindrical,BG-Twist off,,⬇ 11255,,
82,008081-380,125 ml,205 grs,Glass,"75,00 mm","60,00 mm",glass-white,cylindrical,,,,,
83,008081-547,125 ml,208 grs,Glass,"59,80 mm","75,30 mm",white,cylindrical,BG-Swing Top,,⬇ 12222,,
84,008082-1296,125 ml,300 grs,Glass,"118,00 mm","96,00 mm",glass-white,cylindrical,,,,,
85,008082-1290,125 ml,365 grs,Glass,"83,00 mm","75,00 mm",glass-white,cylindrical,,,,,
86,008082-142,128 ml,85 grs,Glass,"62,05 / 54,20 mm","65,40 mm",glass-white,cylindrical,Twist Off TO 63,92,,,
87,008081-277,130 ml,105 grs,Glass,"69,30 mm","51,40 mm",glass-white,cylindrical,Twist Off TO 66 Tall,85,,,
88,008081-612,130 ml,105 grs,Glass,"60,20 mm","66,20 mm",white,cylindrical,BG-Twist off,,⬇ 19893,,
89,008082-411,130 ml,110 grs,,"61,50 mm","60,50 mm",glass-white,cylindrical,Twist Off TO 63,,,,
90,008081-475,130 ml,110 grs,Glass,"66,70 mm","60,50 mm",white,cylindrical,BG-Twist off,,⬇ 24962,,
91,008081-579,130 ml,120 grs,Glass,"56,90 mm","72,80 mm",white,cylindrical,BG-Twist off,,⬇ 22795,,
92,008081-575,130 ml,140 grs,Glass,"69,50 mm","57,20 mm",white,cylindrical,Twist Off 66 Deep,,⬇ 22698,,
93,008081-549,135 ml,225 grs,Glass,"63,70 mm","75,60 mm",white,cylindrical,BG-Swing Top,,⬇ 17839,,
94,008082-397,136 ml,100 grs,Glass,"69,30 mm","53,20 mm",glass-white,cylindrical,Twist Off TO 66 Tall,,,,
95,008082-20,140 ml,106 grs,Glass,"72,50 mm","51,50 mm",white,cylindrical,Twist Off TO 66,95,,,
96,008081-606,140 ml,106 grs,Glass,"72,50 mm","51,50 mm",white,cylindrical,BG-Twist off,,⬇ 26256,,
97,008081-529,140 ml,115 grs,Glass,"52,50 mm","96,90 mm",white,cylindrical,BG-Screw,,⬇ 17833,,
98,008081-251,140 ml,130 grs,Glass,"74,60 mm","50,80 mm",glass-white,cylindrical,Twist Off TO 70 Tall,85,,,
99,008082-358,140 ml,166 grs,Glass,"60,00 mm","69,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
100,008082-141,148 ml,105 grs,Glass,"68,50 mm","56,80 mm",white,cylindrical,Twist Off TO 66,84,,,
101,POCP0150CT18XXPP,150 ml,15 grs,Plastic,"72,00 mm","50,20 mm",plastic-transparent,,,,,,
102,POCP0150CA11XXPP,150 ml,18 grs,Plastic,"53,20 mm","95,50 mm",plastic-topaz,,,,,,
103,004047-104,150 ml,18 grs,Plastic,"48,20 mm","126,00 mm",plastic-transparent,oval,Thread 24/410,,,,
104,004047-105,150 ml,18 grs,Plastic,"45,10 mm","138,50 mm",plastic-transparent,oval,Thread 24/410,,,,
105,004046-33,150 ml,20 grs,Plastic,"65,60 mm","64,70 mm",plastic-transparent,cylindrical,TO-063-PET,,,,
106,POCP0150CB12XXNO,150 ml,25 grs,Plastic,"50,34 mm","104,37 mm",plastic-white,,,,,,
107,008082-114,150 ml,85 grs,Glass,"63,00 mm","71,00 mm",glass-white,cylindrical,Special T 3668A,,,,
108,008082-246,150 ml,100 grs,Glass,"77,00 mm","45,80 mm",glass-white,cylindrical,S/Detalle 150,80,,,
109,008082-56,150 ml,142 grs,Glass,"50,50 mm","109,00 mm",white,cylindrical,Twist Off 48,78,,,
110,008082-1588,150 ml,170 grs,Glass,,"84,00 mm",glass-white,complex,,,,,
111,008082-66,151 ml,107 grs,Glass,"63,50 mm","69,80 mm",white,cylindrical,Twist Off TO 58,69,,,
112,008081-253,151 ml,130 grs,Glass,"73,20 mm","54,90 mm",glass-white,cylindrical,Twist Off TO 70 Tall,68,,,
113,008082-268,156 ml,100 grs,Glass,"56,40 mm","87,00 mm",glass-white,cylindrical,Twist Off TO 53,,,,
114,008082-94,156 ml,100 grs,Glass,"56,40 mm","85,50 mm",glass-white,cylindrical,Twist Off TO 53,93,,,
115,008081-510,156 ml,100 grs,Glass,"56,40 mm","85,50 mm",white,cylindrical,BG-Twist off,,⬇ 16346,,
116,008081-459,156 ml,110 grs,Glass,"58,00 mm","100,70 mm",white,cylindrical,PP 45,,⬇ 9563,,
117,008081-613,156 ml,115 grs,Glass,"60,20 mm","76,70 mm",white,cylindrical,BG-Twist off,,⬇ 21604,,
118,008081-651,156 ml,130 grs,Glass,"80,90 mm","60,30 mm",white,square,Twist Off TO 63 Tall,,⬇ 27089,,
119,008081-624,156 ml,140 grs,Glass,"45,10 mm","140,50 mm",white,cylindrical,Twist Off 43 Deep,,⬇ 19505,,
120,008081-540,156 ml,150 grs,Glass,"73,00 mm","68,70 mm",white,cylindrical,Twist Off TO 70 Tall,,⬇ 16972,,
121,008081-288,156 ml,160 grs,Glass,"69,80 mm","56,70 mm",glass-white,square,Twist Off TO 66 Tall,80,⬇ 17534,,
122,008081-213,156 ml,190 grs,Glass,"74,00 mm","61,00 mm",glass-white,cylindrical,Twist Off TO 70 Tall,68,,,
123,008082-33,159 ml,145 grs,Glass,"46,50 mm","150,00 mm",white,cylindrical,Twist Off TO 43,45,,,
124,008082-69,160 ml,103 grs,Glass,"57,00 mm","92,50 mm",white,cylindrical,Twist Off TO 53,58,,,
125,008082-359,160 ml,174 grs,Glass,"60,00 mm","80,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
126,008081-611,161 ml,115 grs,Glass,"62,00 mm","76,70 mm",white,cylindrical,BG-Twist off,,⬇ 19708,,
127,008082-347,165 ml,27 grs,Glass,"80,00 mm","47,00 mm",glass-white,cylindrical,Weck 80 mm,,,,
128,008081-486,167 ml,120 grs,Glass,"62,50 mm","72,70 mm",white,cylindrical,BG-Twist off,,⬇ 14952,,
129,008082-29,167 ml,125 grs,Glass,"61,80 mm","72,70 mm",white,cylindrical,Twist Off TO 66,63,,,
130,008081-265,167 ml,127 grs,Glass,"66,00 mm","72,70 mm",glass-white,cylindrical,Twist Off TO 66,63,,,
131,008081-472,167 ml,135 grs,Glass,"52,30 mm","115,00 mm",white,cylindrical,BG-Twist off,,⬇ 12776,,
132,008081-546,167 ml,235 grs,Glass,"62,30 mm","89,20 mm",white,cylindrical,BG-Swing Top,,⬇ 12221,,
133,008082-1668,167 ml,236 grs,Glass,"78,00 mm","62,00 mm",glass-white,cylindrical,,,,,
134,008082-403,180 ml,122 grs,Glass,"62,00 mm","86,00 mm",glass-white,cylindrical,Twist Off TO 63,,,,
135,008081-480,186 ml,120 grs,Glass,"77,30 mm","53,10 mm",white,cylindrical,BG-Twist off,,⬇ 10496,,
136,008081-576,190 ml,140 grs,Glass,"86,20 mm","49,40 mm",white,cylindrical,Twist Off TO 82 Alta,,⬇ 22699,,
137,008081-591,192 ml,145 grs,Glass,"68,70 mm","93,20 mm",white,complex,BG-Twist off,,⬇ 12552,,
138,008081-557,196 ml,140 grs,Glass,"60,80 mm","86,90 mm",white,hexagonal,BG-Twist off,,⬇ 173,,
139,POCP0200CT18XXPP,200 ml,18 grs,Plastic,"71,50 mm","64,20 mm",plastic-transparent,,,,,,
140,004046-38,200 ml,30 grs,Plastic,"85,00 mm","57,10 mm",plastic-transparent,cylindrical,TO-082-PET,,,,
141,POCP0200CT19XXPP,200 ml,36 grs,Plastic,"104,00 mm","42,00 mm",plastic-transparent,,,,,,
142,008081-642,200 ml,150 grs,Glass,"79,50 mm","72,00 mm",white,square,BG-Twist off,,⬇ 10823,,
143,008081-268,200 ml,163 grs,Glass,"69,70 / 61,00 mm","89,00 mm",glass-white,hexagonal,Twist Off TO 58,51,,,
144,008082-346,200 ml,170 grs,Glass,"60,00 mm","120,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
145,008082-364,200 ml,174 grs,Glass,"80,00 / 68,00 mm","55,00 mm",glass-white,cylindrical,Weck 80 mm,,,,
146,008081-261,200 ml,202 grs,Glass,"56,00 mm","170,80 mm",glass-white,cylindrical,Twist Off TO 43,17,,,
147,008081-230,200 ml,299 grs,Glass,"83,30 mm","73,00 mm",glass-white,cylindrical,Le Parfait - Finish Latex 70 mm,,,,
148,008082-1728,200 ml,375 grs,Glass,"83,00 mm","95,00 mm",glass-white,cylindrical,,,,,
149,008082-399,205 ml,140 grs,Glass,"73,20 mm","63,30 mm",glass-white,cylindrical,Twist Off TO 77,,,,
150,008081-543,205 ml,330 grs,Glass,"77,70 mm","58,00 mm",white,cylindrical,BG-Swing Top,,⬇ 19920,,
151,008082-44,207 ml,150 grs,Glass,"79,50 / 69,50 mm","72,00 mm",white,square,Twist Off TO 66,57,,,
152,008082-72,209 ml,119 grs,Glass,"62,00 mm","95,40 mm",glass-white,cylindrical,Twist Off TO 58,,,,
153,008082-398,209 ml,119 grs,Glass,"62,00 mm","95,40 mm",glass-white,cylindrical,Twist Off TO 58,,,,
154,008082-63,210 ml,140 grs,Glass,"94,00 mm","43,50 mm",white,cylindrical,S/D 210,54,,,
155,008082-284,210 ml,140 grs,Glass,"85,00 mm","83,00 mm",glass-white,cylindrical,Twist Off TO 63,,,,
156,008082-83,211 ml,194 grs,Glass,"50,30 mm","170,00 mm",glass-white,cylindrical,Twist Off 48,39,⬇ 14705,,
157,008082-8,212 ml,120 grs,Glass,"67,50 mm","81,00 mm",white,cylindrical,Twist Off TO 63,63,,,
158,008082-70,212 ml,120 grs,Glass,"61,50 mm","104,00 mm",white,cylindrical,Twist Off TO 58,50,,,
159,008082-277,212 ml,120 grs,Glass,"60,90 mm","96,80 mm",white,cylindrical,Twist Off TO 58,48,,,
160,008081-464,212 ml,120 grs,Glass,"60,60 mm","104,20 mm",white,cylindrical,BG-Twist off,,⬇ 18436,,
161,008082-343,212 ml,120 grs,Glass,"61,50 mm","90,00 mm",glass-white,cylindrical,Twist Off TO 63,,,,
162,008081-276,212 ml,124 grs,Glass,"69,30 mm","77,00 mm",glass-white,cylindrical,Twist Off TO 66 Tall,51,,,
163,008081-530,212 ml,125 grs,Glass,"57,40 mm","109,10 mm",white,cylindrical,BG-Twist off,,⬇ 23997,,
164,008082-145,212 ml,130 grs,Glass,"64,80 mm","95,20 mm",glass-white,octogonal,Twist Off TO 58,46,,,
165,008081-499,212 ml,130 grs,Glass,"71,90 mm","74,50 mm",white,cylindrical,BG-Twist off,,⬇ 18197,,
166,008081-628,212 ml,135 grs,Glass,"92,20 mm","51,70 mm",white,cylindrical,BG-Twist off,,⬇ 3465,,
167,008081-471,212 ml,140 grs,Glass,"71,00 mm","89,50 mm",white,cylindrical,BG-Twist off,,⬇ 13016,,
168,008081-17,212 ml,140 grs,Glass,"76,10 mm","84,00 mm",glass-white,cylindrical,Twist Off TO 63,51,,,
169,008081-590,212 ml,145 grs,Glass,"66,80 mm","85,50 mm",white,cylindrical,BG-Twist off,,⬇ 20135,,
170,008082-400,212 ml,145 grs,Glass,"73,00 mm","70,00 mm",glass-white,cylindrical,Twist Off TO 70 Tall,,,,
171,008081-273,212 ml,150 grs,Glass,"62,50 mm","80,00 mm",glass-white,square,Twist Off TO 58,72,,,
172,008081-564,212 ml,150 grs,Glass,"71,00 mm","99,30 mm",white,cylindrical,BG-Twist off,,⬇ 17486,,
173,008081-650,212 ml,150 grs,Glass,"68,00 mm","75,20 mm",white,square,Twist Off TO 63 Tall,,⬇ 26022,,
174,008081-610,212 ml,150 grs,Glass,"60,20 mm","101,30 mm",white,cylindrical,BG-Twist off,,⬇ 24338,,
175,008081-283,212 ml,151 grs,Glass,"62,00 mm","90,00 mm",glass-white,cylindrical,Twist Off TO 66,63,,,
176,008081-669,212 ml,155 grs,,"73,00 mm","83,00 mm",glass-white,cylindrical,BG-Twist off,,⬇ 16633,,
177,008081-215,212 ml,160 grs,Glass,"84,00 / 67,00 mm","76,20 mm",glass-white,square,Twist Off TO 58,39,,,
178,10260,212 ml,160 grs,Glass,"48,00 mm","81,00 mm",glass-white,square,Twist Off TO 63 Tall,,,,
179,008081-493,212 ml,160 grs,Glass,"65,90 mm","81,50 mm",white,square,Twist Off TO 63 Tall,,⬇ 28692,,
180,008082-391,212 ml,160 grs,Glass,"74,00 mm","80,00 mm",glass-white,cylindrical,Twist Off TO 70 Tall,,,,
181,008081-657,212 ml,160 grs,Glass,"67,50 mm","92,70 mm",white,cylindrical,BG-Twist off,,⬇ 24878,,
182,008081-646,212 ml,163 grs,Glass,"73,40 mm","70,60 mm",white,cylindrical,BG-Twist off,,⬇ 23582,,
183,008082-233,212 ml,165 grs,Glass,"68,00 mm","91,80 mm",glass-white,cylindrical,Twist Off TO 63,42,,,
184,008081-470,212 ml,170 grs,Glass,"70,90 mm","97,30 mm",white,cylindrical,BG-Twist off,,⬇ 17903,,
185,008081-599,212 ml,170 grs,Glass,"66,80 mm","91,10 mm",white,cylindrical,BG-Twist off,,⬇ 25528,,
186,10486,212 ml,175 grs,Glass,"74,00 mm","80,00 mm",glass-white,cylindrical,Twist Off TO 70 Tall,,,,
187,32959,212 ml,175 grs,Glass,"70,80 mm","83,00 mm",glass-white,cylindrical,Twist Off TO 63,,↓ 32959,,
188,008081-635,212 ml,180 grs,Glass,"78,70 mm","87,80 mm",white,square,BG-Twist off,,⬇ 11110,,
189,008081-454,212 ml,190 grs,Glass,"71,00 mm","115,50 mm",white,cylindrical,BG-Twist off,,⬇ 14981,,
190,008081-468,212 ml,190 grs,Glass,"88,20 mm","71,20 mm",white,rectangular,BG-Twist off,,⬇ 15663,,
191,008081-583,212 ml,190 grs,Glass,"73,00 mm","91,00 mm",white,oval,BG-Twist off,,⬇ 16535,,
192,008081-585,212 ml,190 grs,Glass,"83,00 mm","90,00 mm",white,oval,BG-Twist off,,⬇ 16536,,
193,008081-638,212 ml,195 grs,Glass,"63,00 mm","85,70 mm",white,square,BG-Twist off,,⬇ 19217,,
194,008081-536,212 ml,200 grs,Glass,"71,10 mm","81,30 mm",extrawhite,square,Twist Off TO 58 Tall,,⬇ 19640,,
195,29323,212 ml,250 grs,Glass,"76,80 mm","79,00 mm",extrawhite,cylindrical,BG-Screw,,⬇ 29323,,
196,29322,212 ml,250 grs,Glass,"69,80 mm","91,00 mm",extrawhite,cylindrical,BG-Screw,,⬇ 29322,,
197,008081-290,212 ml,260 grs,Glass,"69,80 mm","74,70 mm",glass-white,square,Twist Off TO 66 Tall,60,⬇ 17535,,
198,008082-1602,212 ml,348 grs,Glass,"114,00 mm","55,00 mm",glass-white,cylindrical,Twist Off TO 110,,,,
199,008081-519,212 ml,350 grs,Glass,"84,00 mm","89,50 mm",white,cylindrical,BG-Twist off,,⬇ 12374,,
200,008081-594,212 ml,400 grs,Glass,"77,30 mm","84,60 mm",white,square,BG-Twist off,,⬇ 17402,,
201,008082-385,215 ml,125 grs,Glass,"62,00 mm","101,50 mm",white,cylindrical,BG-Twist off,,⬇ 20067,,
202,10245,215 ml,125 grs,Glass,"62,00 mm","101,00 mm",glass-white,cylindrical,Twist Off TO 53,,,,
203,008082-357,220 ml,120 grs,Glass,"60,00 mm","80,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
204,008081-572,220 ml,124 grs,Glass,"69,30 mm","77,00 mm",white,cylindrical,Twist Off 66 Deep,,⬇ 22023,,
205,008082-352,220 ml,193 grs,Glass,"60,00 mm","66,00 mm",glass-white,cylindrical,Weck 60 mm,,,,
206,008082-335,223 ml,130 grs,Glass,"70,00 mm","78,80 mm",glass-white,cylindrical,Twist Off TO 66 Tall,,,,
207,008081-326,225 ml,140 grs,Glass,"70,50 mm","79,20 mm",glass-white,cylindrical,Twist Off TO 66 Tall,57,,,
208,008081-483,225 ml,150 grs,Glass,"82,00 mm","62,70 mm",white,cylindrical,BG-Twist off,,⬇ 10912,,
209,008081-331,225 ml,160 grs,Glass,"69,30 mm","83,50 mm",white,cylindrical,Twist Off 66 Deep,,⬇ 16199,,
210,008081-511,228 ml,120 grs,Glass,"67,70 mm","84,70 mm",white,cylindrical,BG-Twist off,,⬇ 19422,,
211,008081-280,228 ml,135 grs,Glass,"92,20 mm","52,00 mm",glass-white,cylindrical,Twist Off TO 82,,,,
212,008081-487,228 ml,140 grs,Glass,"66,70 mm","98,00 mm",white,cylindrical,BG-Twist off,,⬇ 26155,,
213,008081-603,228 ml,140 grs,Glass,"86,00 mm","55,20 mm",white,cylindrical,BG-Twist off,,⬇ 12694,,
214,008081-617,228 ml,150 grs,Glass,"85,40 mm","55,70 mm",white,cylindrical,BG-Twist off,,⬇ 20984,,
215,008081-659,228 ml,185 grs,Glass,"105,00 mm","77,50 mm",white,complex,BG-Twist off,,⬇ 13220,,
216,008081-601,229 ml,150 grs,Glass,"67,30 mm","87,30 mm",white,octogonal,BG-Twist off,,⬇ 16619,,
217,008082-293,230 ml,125 grs,Glass,"82,00 / 73,00 mm","59,00 mm",glass-white,cylindrical,,,,,
218,008081-658,230 ml,130 grs,Glass,"77,00 mm","67,00 mm",white,cylindrical,BG-Twist off,,⬇ 9321,,
219,008081-263,235 ml,135 grs,Glass,"81,00 mm","64,50 mm",glass-white,cylindrical,Twist Off TO 82,52,,,
220,10403,244 ml,160 grs,Glass,"57,00 mm","129,00 mm",glass-white,cylindrical,Twist Off TO 53,,,,
221,008082-21,244 ml,175 grs,Glass,"57,80 mm","129,50 mm",white,cylindrical,Twist Off TO 53,58,,,
222,008082-124,245 ml,150 grs,Glass,"64,50 mm","109,50 mm",white,cylindrical,Twist Off TO 58,46,,,
223,008081-235,245 ml,155 grs,Glass,"87,50 mm","62,50 mm",glass-white,cylindrical,Le Parfait - Finish Wiss 82 mm,,,,
224,POCP0250CT18XXPP,250 ml,18 grs,Plastic,"71,50 mm","77,60 mm",plastic-transparent,,,,,,
