,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape,Units per pasteurizer,Technical drawing
149,008081-17,212 ml,140 grs,Glass,"76,10 mm","84,00 mm",glass-white,Twist Off TO 63,cylindrical,51,
150,008081-590,212 ml,145 grs,Glass,"66,80 mm","85,50 mm",white,BG-Twist off,cylindrical,,⬇ 20135
151,008082-400,212 ml,145 grs,Glass,"73,00 mm","70,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,,
152,008081-273,212 ml,150 grs,Glass,"62,50 mm","80,00 mm",glass-white,Twist Off TO 58,square,72,
153,008081-564,212 ml,150 grs,Glass,"71,00 mm","99,30 mm",white,BG-Twist off,cylindrical,,⬇ 17486
154,008081-650,212 ml,150 grs,Glass,"68,00 mm","75,20 mm",white,Twist Off TO 63 Tall,square,,⬇ 26022
155,008081-610,212 ml,150 grs,Glass,"60,20 mm","101,30 mm",white,BG-Twist off,cylindrical,,⬇ 24338
156,008081-283,212 ml,151 grs,Glass,"62,00 mm","90,00 mm",glass-white,Twist Off TO 66,cylindrical,63,
157,008081-669,212 ml,155 grs,,"73,00 mm","83,00 mm",glass-white,BG-Twist off,cylindrical,,⬇ 16633
158,008081-215,212 ml,160 grs,Glass,"84,00 / 67,00 mm","76,20 mm",glass-white,Twist Off TO 58,square,39,
159,10260,212 ml,160 grs,Glass,"48,00 mm","81,00 mm",glass-white,Twist Off TO 63 Tall,square,,
160,008081-493,212 ml,160 grs,Glass,"65,90 mm","81,50 mm",white,Twist Off TO 63 Tall,square,,⬇ 28692
161,008082-391,212 ml,160 grs,Glass,"74,00 mm","80,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,,
162,008081-657,212 ml,160 grs,Glass,"67,50 mm","92,70 mm",white,BG-Twist off,cylindrical,,⬇ 24878
163,008081-646,212 ml,163 grs,Glass,"73,40 mm","70,60 mm",white,BG-Twist off,cylindrical,,⬇ 23582
164,008082-233,212 ml,165 grs,Glass,"68,00 mm","91,80 mm",glass-white,Twist Off TO 63,cylindrical,42,
165,008081-470,212 ml,170 grs,Glass,"70,90 mm","97,30 mm",white,BG-Twist off,cylindrical,,⬇ 17903
166,008081-599,212 ml,170 grs,Glass,"66,80 mm","91,10 mm",white,BG-Twist off,cylindrical,,⬇ 25528
167,10486,212 ml,175 grs,Glass,"74,00 mm","80,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,,
168,32959,212 ml,175 grs,Glass,"70,80 mm","83,00 mm",glass-white,Twist Off TO 63,cylindrical,,↓ 32959
169,008081-635,212 ml,180 grs,Glass,"78,70 mm","87,80 mm",white,BG-Twist off,square,,⬇ 11110
170,008081-454,212 ml,190 grs,Glass,"71,00 mm","115,50 mm",white,BG-Twist off,cylindrical,,⬇ 14981
171,008081-468,212 ml,190 grs,Glass,"88,20 mm","71,20 mm",white,BG-Twist off,rectangular,,⬇ 15663
172,008081-583,212 ml,190 grs,Glass,"73,00 mm","91,00 mm",white,BG-Twist off,oval,,⬇ 16535
173,008081-585,212 ml,190 grs,Glass,"83,00 mm","90,00 mm",white,BG-Twist off,oval,,⬇ 16536
